name,price,old price,sale,url,image,fullDescription,productInformation,rating,brand,is_best_seller,new release,productCategory
Andora Striped Patterned Button Down Shirt - Fuchsia & White,EGP 212.00,EGP 374.00,43%,https://www.jumia.com.eg/andora-striped-patterned-button-down-shirt-fuchsia-white-40161277.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/77/216104/1.jpg?1069,Our Model Is wearing Size M Cotton Material Regular fit Long Sleeves Striped pattern Turn down collar Button down closure,SKU: AN141MW19Z0BSNAFAMZ Model: 6221273227848 Main Material: Cotton,4.9 out of 5 (8 verified ratings),Andora,TRUE,FALSE,fashion
Fashion Open Front Drop Shoulder Tassel Hem Kimono,EGP 299.00 40%,EGP 299.00,40%,https://www.jumia.com.eg/fashion-open-front-drop-shoulder-tassel-hem-kimono-26305980.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/08/950362/1.jpg?1367,MODEL: CHINA Brand : CHINA Targeted Group : Women Occasion : Casual Type :  Kimono swimsuit MODEL: CHINA Brand : CHINA Targeted Group : Women Occasion : Casual Type : kimono swimsuit,SKU: BR968SL05BU56NAFAMZ Color: Black Main Material: Mix,4.4 out of 5 (91 verified ratings),Fashion,FALSE,FALSE,fashion
Menta By Coctail Short Chiffon Jacquard Belt Dress-black,EGP 370.00 59%,EGP 370.00,59%,https://www.jumia.com.eg/menta-by-coctail-short-chiffon-jacquard-belt-dress-black-26894117.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/71/149862/1.jpg?7725,Our Model Is wearing Size M   Regular fit Long Sleeves Floral pattern Lace Up V-Neck Lace Up Closure,SKU: ME455MW16CZL2NAFAMZ Model: 4493 Production Country: Egypt Color: black Main Material: chiffon,4.7 out of 5 (6 verified ratings),Menta By Coctail,TRUE,FALSE,fashion
Women's Slipper - Multi Colors,EGP 250.00 34%,EGP 250.00,34%,https://www.jumia.com.eg/generic-womens-slipper-multi-colors-22305991.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/19/950322/1.jpg?6045,Round toecap shape Slip On,SKU: GE810FS0BVLRMNAFAMZ Model: Par-6 Production Country: Egypt Color: White-Pink Main Material: Rubber Care Label: يمكنك استخدامه بمجرد الاستلام بدون اي تعقيدات,3.7 out of 5 (3 verified ratings),(3 verified ratings),FALSE,FALSE,fashion
SHEIN Tropical Print Push Up Swim Dress With Bikini Bottom-5916,EGP 899.00 44%,EGP 899.00,44%,https://www.jumia.com.eg/shein-tropical-print-push-up-swim-dress-with-bikini-bottom-5916-41370251.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/15/207314/1.jpg?3633,MODEL: SHEIN Brand : SHEIN Targeted Group : Women Occasion : summer SHEIN Type : Swimsuit  MODEL: SHEIN Brand : SHEIN Targeted Group : Women Occasion : summer SHEIN Type : Swimsuit ,SKU: SH574MW091Y1ENAFAMZ Color: Multicolour Main Material: Mix,0 out of 5 (No ratings available),SHEIN,FALSE,FALSE,fashion
Women's Pajamas.Summer2023-Big Size,EGP 550.00 46%,EGP 550.00,46%,https://www.jumia.com.eg/generic-womens-pajamas.summer2023-big-size-43181066.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/66/018134/1.jpg?8914,"Soft and comfortable, the material is stretchy, lightweight and very gentle on the skin This unique pajamis flaunts your beautiful curves Practical and distinguished by its elegant single model big size 100 kg",SKU: GE810SL13AZX2NAFAMZ Production Country: Egypt Color: Multicolour Main Material: Lycra CottonCotton Care Label: يغسل بماء بارد ولا تستخدم أي مواد مبيضة في غسله&nbsp;,0 out of 5 (No ratings available),(No ratings available),FALSE,FALSE,fashion
Caesar WomenPrinted Isdal Prayer Multi Pattern,EGP 123.00 - EGP 135.00,EGP 410.00,70%,https://www.jumia.com.eg/caesar-womenprinted-isdal-prayer-multi-pattern-38515847.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/74/851583/1.jpg?4451,Our Model Is wearing Sizexl Cotton Material long sleeves  hijab   Printed pattern,SKU: BR241SL18KBUNNAFAMZ Model: 11070 Production Country: Egypt Color: Multicolour Main Material: Cotton,3.5 out of 5 (2 verified ratings),Caesar,TRUE,FALSE,fashion
Cotton Pajama - Big Size, , , ,https://www.jumia.com.eg/generic-cotton-pajama-big-size-26907208.html?seller_product=1,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/80/270962/1.jpg?4819,cotton pajama  2 pieces  blue &white  one size ,SKU: GE810SL1BSHGYNAFAMZ Production Country: Egypt Color: Multicolour Main Material: Cotton Care Label: يغسل بماء بارد ولا تستخدم أي مواد مبيضة في غسله&nbsp;,0 out of 5 (No ratings available),(No ratings available),FALSE,FALSE,fashion
Zecotex Summer Pajama Set 3082,EGP 380.00 16%,EGP 380.00,16%,https://www.jumia.com.eg/zecotex-summer-pajama-set-3082-21431637.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/73/613412/1.jpg?2571,100% cotton material full lycra,SKU: BR008SL17TSH0NAFAMZ Model: 3082 Production Country: Egypt Color: grey Main Material: 100% cotton,5 out of 5 (3 verified ratings),Zecotex,FALSE,FALSE,fashion
American Eagle AE Super Soft Graphic T-Shirt,EGP 345.00,EGP 750.00,54%,https://www.jumia.com.eg/american-eagle-ae-super-soft-graphic-t-shirt-26619521.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/12/591662/1.jpg?8786,Elevate your t-shirt game with stylish graphics and suuuper soft cotton.,SKU: AM423MW07HVSENAFAMZ Production Country: Cambodia Color: DARK GRAPHITE Main Material: 100% COTTON,4.9 out of 5 (20 verified ratings),https://www.jumia.com.eg/american-eagle/,FALSE,FALSE,fashion
