name,price,old price,sale,url,image,fullDescription,productInformation,rating
Mintra Medium Round Bowl - 750 ML – Turquoise,EGP 14.95,EGP 18.00,17%,https://www.jumia.com.eg/mintra-medium-round-bowl-750-ml-turquoise-37558524.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/42/585573/1.jpg?0834,Brand: Mintra Material: Plastic Item Type: Unbreakable bowl Volume: 750 ml. Color: turquoise,SKU: MI869HL0PCR8LNAFAMZ Model: 6221236084556 Color: N/A Main Material: N/A,0 out of 5 (No ratings available)
Stainless Steel Rectangular Divided Dinner Tray 5 Sections Dinner Plates,EGP 75.00,EGP 350.00,79%,https://www.jumia.com.eg/stainless-steel-rectangular-divided-dinner-tray-5-sections-dinner-plates-generic-mpg823304.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/54/262742/1.jpg?2727,"304 STAINLESS STEEL DIVIDED PLATE - completely safe plastic free alternative 5 SECTIONS TRAYS - 5 compartment are great for food control and offering a balance of healthy foods,our plates have a deeper depth which ensures food doesn’t spill easily. The bigger size ensures that they are great for adults. REUSABLE LUNCH DINNER SERVING TRAY - Reusable stainless steel food tray,save money and the environment by avoiding buying disposable plates throughout the years,Great for camping, picnics, on a boat , snacks, full meals ,school, indoor or outdoor everyday use. DISHWASHER SAFE STAINLESS STEEL DIVIDED PLATE - Easy to clean,Will not retain or impart colors, stains, odors, or flavors. Conveniently stackable for easy storage,suitable for Every Day Use for Babies, Toddlers and Kids ,Adults .unbreakable, non-plastic, rust free, stackable, dishwasher safe",SKU: GE810HA0WB1EENAFAMZ Model: N/A Production Country: China Size (L x W x H cm): 0 Color: Silver Main Material: stainless,4.3 out of 5 (20 verified ratings)
Mintra Unbreakable Oval Tray - 1250 ml – Blue,EGP 26.45,EGP 32.00,17%,https://www.jumia.com.eg/mintra-unbreakable-oval-tray-1250-ml-blue-37558507.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/70/585573/1.jpg?0886,Brand: Mintra Material: Safe and Hygienic No.5 Polypropylene Plastic Product Type: unbreakable oval tray Color: Blue Capacity:1250ml,SKU: MI869HL160W6DNAFAMZ Model: 6221236082675 Color: N/A Main Material: N/A,5 out of 5 (1 verified rating)
Kitchen Apron Cute Bear Waterproof Polyester Apron Bibs,EGP 60.00,EGP 150.00,60%,https://www.jumia.com.eg/generic-kitchen-apron-cute-bear-waterproof-polyester-apron-bibs-32608855.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/55/880623/1.jpg?2290,The shapes and colors of the accessories may vary One Piece Water Proof Kitchen Apron Very practical and cool design Equipped with a towel on both sides Value for a price One size fits all A great gift option,"SKU: GE810MW0X9PRJNAFAMZ Model: N/A Production Country: China, Egypt Size (L x W x H cm): one size Color: Color May Vary Main Material: n/a Shop Type: Jumia Mall",4 out of 5 (8 verified ratings)
Mintra Big Round Bowl - 1.8L – Blue,EGP 28.45,EGP 32.00,11%,https://www.jumia.com.eg/mintra-big-round-bowl-1.8l-blue-37558484.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/48/485573/1.jpg?0844,Brand: Mintra Material: Plastic Item Type: Unbreakable bowl Volume: 1.8 L Color: blue,SKU: MI869HL0SV7PHNAFAMZ Model: 6221236084440 Color: N/A Main Material: N/A,0 out of 5 (No ratings available)
Stainless Steel Chopsticks Reusable Lightweight 304 Metal Chopsticks Dishwasher Safe - 5 Pairs,EGP 149.00,EGP 200.00,26%,https://www.jumia.com.eg/generic-stainless-steel-chopsticks-reusable-lightweight-304-metal-chopsticks-dishwasher-safe-5-pairs-40529769.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/96/792504/1.jpg?3620,"【Product Specifications】: 5 pairs, 9.06 inches (23cm) long 【Function Design】: Antiskid function design perfect for new beginners to learn using chopsticks the right way. Provided with grooved tips, the chopsticks ensure enhanced control of noodles, sushi, rice and much most. 【 Diswasher Safe】: Seamless design, laser coloring, no color fading after washing. easy to clean in dishwasher or water, smooth surface bring you a comfortable hands feeling. 【Reusable】 : The metal chopsticks use the high standard food grade stainless steel SUS 304(also called 18/8 stainless steel), no metal aftertaste, more durable and reusable. It's healthier and more environmentally friendly than using bamboo or disposable chopsticks. ",SKU: GE810HA1LMLKONAFAMZ Production Country: China Size (L x W x H cm): 24 cm * 2 cm * 2 cm Color: silver Main Material: stainless steel,5 out of 5 (1 verified rating)
Mintra Unbreakable Oval Tray - 1250 ml – Turquoise,EGP 21.00,EGP 32.00,34%,https://www.jumia.com.eg/mintra-unbreakable-oval-tray-1250-ml-turquoise-37558509.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/90/585573/1.jpg?0927,Brand: Mintra Material: Safe and Hygienic No.5 Polypropylene Plastic Product Type: unbreakable oval tray Color: turquoise Capacity:1250ml,SKU: MI869HL1HXK9XNAFAMZ Model: 6221236082682 Color: N/A Main Material: N/A,5 out of 5 (1 verified rating)
Mintra Unbreakable Oval Tray - 1250 ml – Burgundy,EGP 28.45,EGP 32.00,11%,https://www.jumia.com.eg/mintra-unbreakable-oval-tray-1250-ml-burgundy-37558514.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/41/585573/1.jpg?0832,Brand: Mintra Material: Safe and Hygienic No.5 Polypropylene Plastic Product Type: unbreakable oval tray Color: burgundy Capacity:1250ml,SKU: MI869HL0ORBMTNAFAMZ Model: 6221236082712 Color: N/A Main Material: N/A,5 out of 5 (1 verified rating)
Mintra Unbreakable Cup - 175ml – Turquoise,EGP 7.49,EGP 11.00,32%,https://www.jumia.com.eg/mintra-unbreakable-cup-175ml-turquoise-37558233.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/33/285573/1.jpg?0814,Brand: Mintra Unbreakable Cup 175ml Turquoise,SKU: MI869HL0JTFB9NAFAMZ Model: 6221236082286 Color: N/A Main Material: N/A,5 out of 5 (1 verified rating)
Air Fryer Paper Oil Proof Non Stick Baking Paper - 100Pcs,EGP 124.00,EGP 190.00,35%,https://www.jumia.com.eg/generic-air-fryer-paper-oil-proof-non-stick-baking-paper-100pcs-38759130.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/03/195783/1.jpg?2410,"Air Fryer Parchment Paper Liners ;Air fryer disposable paper liner keep air fryer clean. No greasy mess, maintains the integrity and beauty of your food without affecting the taste of your food, lightweight and practical. HEALTHY AND RELIABLE MATERIAL;Air fryer baking paper is made of food grade parchment, it is waterproof, oil-proof, non-stick, 100% healthy and with nice heat resistant. Its heightened edge 4.5cm can protect the side of fryers and prevent food from sticking to them. HEAT RESISTANT; Air fryer disposable filters can withstand temperatures up to 428 degrees Fahrenheit, make your parchment liners with intact during cooking. Keep your foods integrity and nice look, and no effect on the taste of the food, lightweight and practical. Easy to Use; You don?t need to tear, fold, cut, nor bend. Just take one out and put it in your air fryer or microwave, then cook as you like. It is lightweight so please always use with enough food to weigh down the parchment paper. Widely Used; Suitable for the air fryer, microwave, oven, steamer, cooker, etc. The paper liners can be applied for baking, roasting, frying, or serving food, suitable for home baking, camping, BBQ, summer party, and so on, lightweight and practical. Mess-free Kitchen: Tired of cleaning your air fryer again and again? Afraid of shortening the life of your air fryer liner? Try this disposable baking paper! Effectively reduces dirt and makes your kitchen life easier!  Superior Material: High quality food-grade baking paper, clean and safe. Double-sided silicone oil air fryer paper liners, oil-proof, water-proof, and anti-stick. Degradable material, green and environmental friendly.",SKU: GE810HA01WHVRNAFAMZ Production Country: China Color: May very Main Material: paper,4.3 out of 5 (3 verified ratings)
