nmae,price,old price,sale,url,image,fullDescription,productInformation,rating,brand,is_best_seller,new release,productCategory
Luna Corrector Set - Multi Color Palette - 4x1.5g - 6g,EGP 160.00,EGP 190.00,16%,https://www.jumia.com.eg/luna-corrector-set-multi-color-palette-4x1.5g-6g-33187817.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/71/878133/1.jpg?2393,Corrector Set   Multi Color Palette 4x1.5g   6g,SKU: LU897ST16SLITNAFAMZ,0 out of 5 (No ratings available),https://www.jumia.com.eg/luna/,FALSE,TRUE,beauty
Makeup Brushes - 24 Pcs - Black,EGP 129.99,EGP 170.00,24%,https://www.jumia.com.eg/makeup-brushes-24-pcs-black-generic-mpg718077.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/69/147052/1.jpg?7683,Very soft brushes help you make full makeup You will find brush for every thing you need in your look like high lighter - eye shadow - concealer- couture.... With leather bag You can take it everywhere  ,SKU: GE810ST15627GNAFAMZ Production Country: China Color: color may vary Main Material: maxied,4.2 out of 5 (33 verified ratings),https://www.jumia.com.eg/catalog/productratingsreviews/sku/GE810ST15627GNAFAMZ/,FALSE,FALSE,beauty
6pcs Portable Makeup Brush Set,EGP 49.99,EGP 175.00,71%,https://www.jumia.com.eg/generic-6pcs-portable-makeup-brush-set-28460187.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/78/106482/1.jpg?9870,"This item cannot be exchanged or returned Contain Mini flat Brush, Eye Shadow Brush, Round Contour Brush,  friendly. the packaging is a nice burlap-like pouch Smaller size than regular brushes but easy to carry for travel or going out.  silky soft brush hairs are well cut by hand, dense and thick so it won't shed or lose bristles and will still be amazing . The 6PCS Makeup Brushes Set for a quick application and professional-looking results.  It is a good gift for your lover, family, friend and coworkers . Make you charmer, elegant and beauty very day Good for going party, banquet or daily life.  new and high quality.  Different type of brushes cover different functions. Great for professional use or home use.",SKU: GE810ST1AI3CINAFAMZ Model: 841 Production Country: China Color: May vary Main Material: maxied,3 out of 5 (3 verified ratings),https://www.jumia.com.eg/catalog/productratingsreviews/sku/GE810ST1AI3CINAFAMZ/,FALSE,FALSE,beauty
A Foundation Brush Suitable For Blending Cosmetics,EGP 49.99,EGP 75.00,33%,https://www.jumia.com.eg/generic-a-foundation-brush-suitable-for-blending-cosmetics-35491111.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/11/119453/1.jpg?4626,"Made of premium material, safe and soft on your facial skin Convenient to store and carry, ideal for travel Perfect for foundation and powder application, and very good at blending Suitable for all skin types",SKU: GE810ST06MBTPNAFAMZ Production Country: China Color: N/A Main Material: N/A,4.8 out of 5 (10 verified ratings),https://www.jumia.com.eg/catalog/productratingsreviews/sku/GE810ST06MBTPNAFAMZ/,FALSE,FALSE,beauty
NIVEA Soft Moisturizing Cream Soft Jar - 50ml,Official Store,EGP 30.00,12%,https://www.jumia.com.eg/nivea-soft-moisturizing-cream-soft-jar-50ml-37954531.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/13/545973/1.jpg?7014,Soft Moisturizing Cream Soft Jar - 50ml,SKU: NI738ST082C51NAFAMZ Color: N/A Main Material: N/A Shop Type: Jumia Mall,4.6 out of 5 (116 verified ratings),https://www.jumia.com.eg/nivea/,FALSE,FALSE,beauty
Real Technique By Sam & Nic Every Day Essentials Brush Set - 5Pcs,EGP 445.00,EGP 499.00,11%,https://www.jumia.com.eg/by-sam-nic-every-day-essentials-brush-set-5pcs-real-technique-mpg755205.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/85/148871/1.jpg?4285,"Your one and done set to master pro-styled looks!CoverColorBlendIncludes:RT 400 Blush Tapered, soft and fluffy bristles Blend powder blush evenly for a smooth, natural look Miracle Complexion Sponge ®Soft, flexible foam Blend liquid and cream foundation into a luminous, dewy finishUse dry for full coverage or damp for dewy glow RT 300 Deluxe CreaseShort, dense bristles Layer and blend cream and powder eyeshadows evenly into eye crease RT 402 Setting Soft and fluffy bristles Dust on highlighting or setting powders precisely for natural looking illumination RT 200 Expert FaceFirm bristles Buff liquid or cream foundation to a glowing, flawless finishProduct Features:100% Cruelty-freeHow To Clean:Clean weekly with our Brush Cleansing Gel for improved brush performance*You may see Miracle Complexion Sponges with RT stamped into the sponge",SKU: RE813ST1EP1AFNAFAMZ Color: - Main Material: N/A,4.5 out of 5 (115 verified ratings),https://www.jumia.com.eg/real-technique/,FALSE,TRUE,beauty
"Makeup Brush Holder, 360-degree Rotating Organizer, With A Practical Design.",EGP 165.00,EGP 209.00,21%,https://www.jumia.com.eg/generic-makeup-brush-holder-360-degree-rotating-organizer-with-a-practical-design.-39837640.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/04/673893/1.jpg?3420,"360° ROTATING BRUSH HOLDER: This brush holder can be rotated without noise. The base is reinforced, the rotation is smooth and silent, and it is easy to carry. 5 Slots Large Capacity: This brush holder has two open slots, so that your cosmetics can be placed in an orderly manner. For cosmetics of different lengths, they can be placed in different slots. MAKEUP BRUSH HOLDER: This makeup brush holder is made of thick PP material, which is durable, not easily deformed, resistant to falling, and easy to clean. Makeup brush holder makes your desktop more tidy. Design: The appearance is exquisitely designed, which makes this brush holder fashionable and easy to carry without slipping. The brush holder can also add a splash of bright color to your dresser or desk. Wide application: This makeup brush holder can be used not only as a cosmetic storage box, but also as a pen holder. Very suitable for placing cosmetics, makeup brushes, school supplies or toiletries. : The 360-degree rotating storage box is made of PP + PET material, which is durable, fashionable and beautiful. With a cover that can be waterproof, dustproof, partition, transparent and visible, easy to carry. It can store makeup brushes, eyebrow pencils, eyeliners, lipsticks, lip glosses, pencils, etc. Space Saving: The storage box is small in size and takes up less counter space, so it can free up more table and drawer space for storing other items.",SKU: GE810ST02S6EDNAFAMZ Model: j-218 Production Country: China Color: may vary Main Material: N/A,0 out of 5 (No ratings available),,FALSE,FALSE,beauty
Golden Rose ORRECT&CONCEAL Concealer Cream Palette 01 Light To Medium,EGP 415.00,EGP 515.00,19%,https://www.jumia.com.eg/golden-rose-orrectconceal-concealer-cream-palette-01-light-to-medium-23539495.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/59/493532/1.jpg?8990,Golden Rose  CORRECT&CONCEAL  Concealer Cream Palette 01Light To Medium,SKU: GO780ST0ZF5I4NAFAMZ Model: 8691190120719 Production Country: Turkey,0 out of 5 (No ratings available),https://www.jumia.com.eg/golden-rose/,FALSE,FALSE,beauty
Makeup Brush Set - Very Soft And Easy To Carry,EGP 89.99,EGP 100.00,10%,https://www.jumia.com.eg/generic-makeup-brush-set-very-soft-and-easy-to-carry-36035279.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/97/253063/1.jpg?3006,"Includes 5 different types of makeup brushes Made of wool fiber Make-up brush set with soft bristles, very comfortable to use Easy to carry, with a nice storage box It won't take up much space in your bag, take it with you anywhere",SKU: GE810ST1LWGXZNAFAMZ Production Country: China Color: color may vary Main Material: N/A,2 out of 5 (3 verified ratings),https://www.jumia.com.eg/catalog/productratingsreviews/sku/GE810ST1LWGXZNAFAMZ/,FALSE,FALSE,beauty
Elf Cosmetic E.L.F CONTOUR PALETTE ( COLOR Light/Medium ),EGP 449.99,EGP 650.00,31%,https://www.jumia.com.eg/elf-cosmetic-e.l.f-contour-palette-color-lightmedium-38271323.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/32/317283/1.jpg?6524,"How to use a contour palette:  Use a sculpting brush, apply your chosen powder or custom bronzing shade to the sides of the nose, hollows of cheeks, and jawline. Use a pointed powder brush to apply the highlighting shade down the center of the nose, over the cheekbones and brow bone, forehead center, and cupid’s bow to lift. Blend the two shades together using back and forth motions until no harsh lines are visible.",SKU: EL346ST0J8O6BNAFAMZ,0 out of 5 (No ratings available),https://www.jumia.com.eg/elf-cosmetic/,FALSE,FALSE,beauty
